Team,Current_Elo,Peak_Elo,Games_Played
Abkhazia,1573,1576,32
Afghanistan,1518,1535,139
Albania,1817,1821,384
Alderney,1267,1500,135
Algeria,1965,1979,590
Ambazonia,1464,1500,6
American Samoa,1327,1500,53
Andalusia,1597,1597,13
Andorra,1432,1500,214
Angola,1767,1767,400
Anguilla,1270,1500,83
Antigua and Barbuda,1502,1600,227
Arameans Suryoye,1524,1524,10
Argentina,2225,2247,1053
Armenia,1701,1739,259
Artsakh,1531,1531,11
Aruba,1406,1503,144
Asturias,1509,1509,1
Australia,1988,2002,567
Austria,1998,2007,845
Aymara,1485,1500,2
Azerbaijan,1679,1695,296
Bahamas,1417,1504,61
Bahrain,1829,1858,566
Bangladesh,1439,1502,295
Barawa,1465,1500,12
Barbados,1469,1613,294
Basque Country,1790,1790,58
Belarus,1716,1783,301
Belgium,2095,2161,833
Belize,1521,1522,113
Benin,1696,1721,308
Bermuda,1573,1596,186
Bhutan,1262,1500,103
Biafra,1511,1511,3
Bolivia,1802,1802,517
Bonaire,1465,1503,38
Bosnia and Herzegovina,1814,1911,269
Botswana,1665,1679,319
Brazil,2193,2261,1046
British Virgin Islands,1304,1519,113
Brittany,1539,1539,12
Brunei,1311,1500,129
Bulgaria,1774,1870,721
Burkina Faso,1805,1818,442
Burma,1498,1512,7
Burundi,1623,1633,207
Cambodia,1392,1509,285
Cameroon,1878,1893,598
Canada,1946,1946,448
Canary Islands,1524,1524,4
Cape Verde,1766,1787,218
Cascadia,1519,1519,7
Catalonia,1681,1681,48
Cayman Islands,1410,1500,112
Central African Republic,1577,1583,128
Central Spain,1501,1501,2
Chad,1515,1541,126
Chagos Islands,1447,1516,16
Chameria,1513,1513,7
Chechnya,1487,1500,3
Chile,1948,2058,820
China PR,1803,1887,702
Cilento,1493,1500,1
Colombia,2137,2166,624
Comoros,1625,1625,130
Congo,1627,1695,403
Cook Islands,1414,1500,53
Corsica,1563,1563,9
Costa Rica,1899,1947,704
County of Nice,1541,1547,9
Crimea,1511,1518,5
Croatia,2065,2078,382
Cuba,1636,1728,386
Curaçao,1656,1656,369
Cyprus,1631,1683,412
Czech Republic,1955,1979,355
Czechoslovakia,1831,1864,502
DR Congo,1793,1793,502
Darfur,1452,1500,7
Denmark,2042,2053,856
Djibouti,1350,1500,105
Dominica,1457,1525,207
Dominican Republic,1622,1622,145
Donetsk PR,1505,1505,6
Délvidék,1500,1508,2
East Timor,1480,1500,4
Ecuador,2037,2037,577
Egypt,1949,1949,731
El Salvador,1722,1785,598
Elba Island,1507,1507,1
Ellan Vannin,1545,1554,22
England,2144,2161,1076
Equatorial Guinea,1721,1721,162
Eritrea,1450,1514,71
Estonia,1696,1745,536
Eswatini,1554,1594,266
Ethiopia,1626,1668,399
Falkland Islands,1400,1500,33
Faroe Islands,1552,1555,274
Felvidék,1509,1513,12
Fiji,1671,1721,259
Finland,1815,1867,800
France,2188,2196,914
Franconia,1506,1508,3
French Guiana,1600,1632,179
Frøya,1414,1501,33
Gabon,1737,1754,390
Galicia,1542,1543,10
Gambia,1652,1674,253
Georgia,1846,1861,293
German DR,1802,1832,298
Germany,2130,2142,1014
Ghana,1811,1889,658
Gibraltar,1491,1598,147
Gotland,1492,1535,30
Gozo,1497,1500,11
Greece,1937,1940,615
Greenland,1501,1509,76
Grenada,1508,1598,249
Guadeloupe,1667,1704,266
Guam,1352,1500,115
Guatemala,1776,1786,534
Guernsey,1726,1750,240
Guinea,1759,1789,526
Guinea-Bissau,1627,1631,178
Guyana,1605,1624,302
Găgăuzia,1484,1500,3
Haiti,1778,1778,494
Hitra,1446,1500,19
Hmong,1492,1500,3
Honduras,1806,1872,602
Hong Kong,1590,1626,431
Hungary,1957,1960,991
Iceland,1826,1865,507
India,1636,1666,523
Indonesia,1720,1720,712
Iran,2063,2063,600
Iraq,1936,1936,634
Iraqi Kurdistan,1566,1568,27
Isle of Man,1619,1632,53
Isle of Wight,1614,1618,48
Israel,1813,1821,486
Italy,2121,2135,870
Ivory Coast,1920,1973,618
Jamaica,1830,1843,640
Japan,2090,2090,786
Jersey,1783,1783,232
Jordan,1879,1882,458
Kabylia,1489,1500,6
Kazakhstan,1679,1705,254
Kenya,1701,1712,690
