date,home_team,away_team,home_score,away_score,goal_difference,home_result,away_result,home_current_elo,away_current_elo
1872-11-30,Scotland,England,0,0,0,0.5,0.5,1500,1500
1873-03-08,England,Scotland,4,2,2,1.0,0.0,1508,1492
1874-03-07,Scotland,England,2,1,1,1.0,0.0,1501,1500
1875-03-06,England,Scotland,2,2,0,0.5,0.5,1501,1501
1876-03-04,Scotland,England,3,0,3,1.0,0.0,1509,1493
1876-03-25,Scotland,Wales,4,0,4,1.0,0.0,1517,1493
1877-03-03,England,Scotland,1,3,2,0.0,1.0,1486,1525
1877-03-05,Wales,Scotland,0,2,2,0.0,1.0,1486,1533
1878-03-02,Scotland,England,7,2,5,1.0,0.0,1540,1480
1878-03-23,Scotland,Wales,9,0,9,1.0,0.0,1547,1480
1879-01-18,England,Wales,2,1,1,1.0,0.0,1488,1472
1879-04-05,England,Scotland,5,4,1,1.0,0.0,1498,1538
1879-04-07,Wales,Scotland,0,3,3,0.0,1.0,1466,1545
1880-03-13,Scotland,England,5,4,1,1.0,0.0,1552,1492
1880-03-15,Wales,England,2,3,1,0.0,1.0,1459,1500
1880-03-27,Scotland,Wales,5,1,4,1.0,0.0,1558,1454
1881-02-26,England,Wales,0,1,1,0.0,1.0,1491,1464
1881-03-12,England,Scotland,1,6,5,0.0,1.0,1485,1565
1881-03-14,Wales,Scotland,1,5,4,0.0,1.0,1459,1571
1882-02-18,Northern Ireland,England,0,13,13,0.0,1.0,1492,1494
1882-02-25,Wales,Northern Ireland,7,1,6,1.0,0.0,1468,1484
1882-03-11,Scotland,England,5,1,4,1.0,0.0,1578,1488
1882-03-13,Wales,England,5,3,2,1.0,0.0,1477,1480
1882-03-25,Scotland,Wales,5,0,5,1.0,0.0,1584,1472
1883-02-03,England,Wales,5,0,5,1.0,0.0,1488,1465
1883-02-24,England,Northern Ireland,7,0,7,1.0,0.0,1496,1477
1883-03-10,England,Scotland,2,3,1,0.0,1.0,1490,1591
1883-03-12,Wales,Scotland,0,3,3,0.0,1.0,1460,1597
1883-03-17,Northern Ireland,Wales,1,1,0,0.5,0.5,1477,1461
1884-01-26,Northern Ireland,Scotland,0,5,5,0.0,1.0,1472,1603
1884-02-09,Wales,Northern Ireland,6,0,6,1.0,0.0,1470,1464
1884-02-23,Northern Ireland,England,1,8,7,0.0,1.0,1457,1498
1884-03-15,Scotland,England,1,0,1,1.0,0.0,1609,1493
1884-03-17,Wales,England,0,4,4,0.0,1.0,1463,1501
1884-03-29,Scotland,Wales,4,1,3,1.0,0.0,1614,1459
1885-02-28,England,Northern Ireland,4,0,4,1.0,0.0,1508,1451
1885-03-14,England,Wales,1,1,0,0.5,0.5,1507,1461
1885-03-14,Scotland,Northern Ireland,8,2,6,1.0,0.0,1619,1447
1885-03-21,England,Scotland,1,1,0,0.5,0.5,1510,1617
1885-03-23,Wales,Scotland,1,8,7,0.0,1.0,1457,1622
1885-04-11,Northern Ireland,Wales,2,8,6,0.0,1.0,1440,1465
1885-11-28,United States,Canada,0,1,1,0.0,1.0,1492,1508
1886-02-27,Wales,Northern Ireland,5,0,5,1.0,0.0,1473,1433
1886-03-13,Northern Ireland,England,1,6,5,0.0,1.0,1427,1517
1886-03-20,Northern Ireland,Scotland,2,7,5,0.0,1.0,1424,1626
1886-03-27,Scotland,England,1,1,0,0.5,0.5,1624,1520
1886-03-29,Wales,England,1,3,2,0.0,1.0,1467,1527
1886-04-10,Scotland,Wales,4,1,3,1.0,0.0,1629,1463
1886-11-25,United States,Canada,3,2,1,1.0,0.0,1501,1500
1887-02-05,England,Northern Ireland,7,0,7,1.0,0.0,1533,1419
1887-02-19,Scotland,Northern Ireland,4,1,3,1.0,0.0,1633,1416
1887-02-26,England,Wales,4,0,4,1.0,0.0,1540,1457
1887-03-12,Northern Ireland,Wales,4,1,3,1.0,0.0,1425,1449
1887-03-19,England,Scotland,2,3,1,0.0,1.0,1535,1639
1887-03-21,Wales,Scotland,0,2,2,0.0,1.0,1445,1644
1888-02-04,England,Wales,5,1,4,1.0,0.0,1541,1440
1888-03-03,Wales,Northern Ireland,11,0,11,1.0,0.0,1448,1418
1888-03-10,Scotland,Wales,5,1,4,1.0,0.0,1648,1445
1888-03-17,Scotland,England,0,5,5,0.0,1.0,1638,1552
1888-03-24,Northern Ireland,Scotland,2,10,8,0.0,1.0,1415,1642
1888-04-07,Northern Ireland,England,1,5,4,0.0,1.0,1411,1557
1888-09-19,Scotland,Canada,4,0,4,1.0,0.0,1647,1496
1889-02-23,England,Wales,4,1,3,1.0,0.0,1563,1440
1889-03-02,England,Northern Ireland,6,1,5,1.0,0.0,1568,1407
1889-03-09,Scotland,Northern Ireland,7,0,7,1.0,0.0,1651,1404
1889-04-13,England,Scotland,2,3,1,0.0,1.0,1562,1658
1889-04-15,Wales,Scotland,0,0,0,0.5,0.5,1445,1654
1889-04-27,Northern Ireland,Wales,1,3,2,0.0,1.0,1397,1453
1890-02-08,Wales,Northern Ireland,5,2,3,1.0,0.0,1460,1391
1890-03-15,Northern Ireland,England,1,9,8,0.0,1.0,1387,1567
1890-03-15,Wales,England,1,3,2,0.0,1.0,1455,1573
1890-03-22,Scotland,Wales,5,0,5,1.0,0.0,1658,1452
1890-03-29,Northern Ireland,Scotland,1,4,3,0.0,1.0,1385,1661
1890-04-05,Scotland,England,1,1,0,0.5,0.5,1660,1575
1891-02-07,Northern Ireland,Wales,7,2,5,1.0,0.0,1395,1443
1891-03-07,England,Wales,4,1,3,1.0,0.0,1581,1438
1891-03-07,England,Northern Ireland,6,1,5,1.0,0.0,1586,1391
1891-03-21,Wales,Scotland,3,4,1,0.0,1.0,1435,1664
1891-03-28,Scotland,Northern Ireland,2,1,1,1.0,0.0,1667,1389
1891-04-04,England,Scotland,2,1,1,1.0,0.0,1596,1658
1892-02-27,Wales,Northern Ireland,1,1,0,0.5,0.5,1434,1391
1892-03-05,Northern Ireland,England,0,2,2,0.0,1.0,1388,1600
